num;track;artist
1;A Hard Day's Night;The Beatles
2;Oh, Pretty Woman;Roy Orbison
3;Foxey Lady;Jimi Hendrix
4;Surfin' U.S.A.;The Beach Boys
5;On The Road Again;Canned Heat
6;Somebody to Love;Jefferson Airplane
7;White Room;Cream
8;Bad Moon Rising;Creedence Clearwater Revival
9;King Of The Road;Roger Miller
10;Superstition;Stevie Wonder
11;Caroline;Status Quo
12;I Feel the Earth Move;Carole King
13;Paranoid;Black Sabbath
14;Sweet Emotion;Aerosmith
15;Simple Man;Lynyrd Skynyrd
16;Rock And Roll All Nite;KISS
17;Ain't Talkin' 'Bout Love;Van Halen
18;Take Me Home, Country Roads;John Denver
19;Panomies;Juice Leskinen
20;Kurjuuden kuningas;Tuomari Nurmio
21;Taas nousen junaan;Kirka
22;Poliisi Pamputtaa Taas;Eppu Normaali
23;We Didn't Start the Fire;Billy Joel
24;Dancing In the Dark;Bruce Springsteen
25;Älä itke, Baby Jane;Leevi and the leavings
26;Kiss Me Deadly;Lita Ford
27;Tulkoon rakkaus;Miljoonasade
28;Äiti pojastaan pappia toivoi;Kolmas Nainen
29;Raining Blood;Slayer
30;Cheri Cheri Lady;Modern Talking
31;For Those About to Rock (We Salute You);AC/DC
32;Blue Monday '88;New Order
33;Let's Dance;David Bowie
34;Just Like Heaven;The Cure
35;Kemiaa;Neon 2
36;Asfaltti Polttaa;Tehosekoitin
37;Paha tyttö;Muska
38;Älä soita tänne enää koskaan;Ultra Bra
39;Hyvää yötä ja huomenta;Don Huonot
40;Via Dolorosa;Tommi Läntinen
41;Peggy;Samuli Edelmann
42;Kersantti Karoliina;Popeda
43;You Oughta Know;Alanis Morissette
44;All I Wanna Do;Sheryl Crow
45;Nti Groove;Aikakone
46;Battles in the North;Immortal
47;Wonderwall;Oasis
48;Enjoy the Silence;Depeche Mode
49;Say You'll Be There;Spice Girls
50;All Star;Smash Mouth
51;Zombie;The Cranberries
52;Pretty Fly (For A White Guy);The Offspring
53;All The Small Things;blink-182
54;The Chief;Melrose
55;The Ballad Of Chasey Lain;Bloodhound Gang
56;N.Y. State of Mind;Nas
57;Join Me - Razorblade Mix;HIM
58;Mombasa;Taiska
59;It Wasn't Me;Shaggy,Rik Rok
60;All The Things She Said;t.A.T.u.
61;Perhonen;Jane
62;Black and Yellow;Wiz Khalifa
63;Still D.R.E.;Dr. Dre
64;Drop It Like It's Hot;Snoop Dogg
65;Boom, Boom, Boom, Boom!!;Vengaboys
66;DotA - Radio Edit;Basshunter
67;This Is My Head Exploding;Disco Ensemble
68;Niina;PMMP
69;Merenneitoni Ja Minä;J. Karjalainen
70;Take A Look Around;Limp Bizkit
71;Liquid;The Rasmus
72;Jenny from the Block;Jennifer Lopez
73;Tarkenee;JVG
74;I Think I'm Paranoid;Garbage
75;Time Is Now;Moloko
76;Child Is My Name;Kemopetrol
77;Hellä ori;Lord Est
78;Kippis Kulaus;Petri Nygård
79;Tyttö sinä olet meritähti;Yön Polte
80;Stigidilaatio;Stig Dogg
81;PA 2001;MC Taakibörsta
82;Landespede;Kemmuru
83;Vaarallinen bändi;Kissa
84;Näenkö näkyjä vain?;Joni Ekman
85;Krapulassa töihin;Seksihullut
86;Neiti B;Tamara Luonto
87;Pizzaa Ja Kaljaa;Rock Siltanen Group
88;Älä mee siihen taloon joka palaa;Mara Balls
89;Koulutuskusetus;Langettava Päätös
90;Lesbo;JJJ Experience
91;Dokaa;Hitto
92;Whole Lotta Love;Led Zeppelin
93;Habits (Stay High);Tove Lo
94;Get On;Hurriganes
95;Rokkilaulaja;Mikko Alatalo
96;Milla;Anssi Kela
97;Better Off Alone;Alice Deejay
98;Sierralla Nevadaan;Portion Boys
99;The Number of the Beast;Iron Maiden
100;Material Girl;Madonna
